Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,Arrival_Time
IndiGo,2025-04-22,Delhi,Bangalore,20:22,5h 23m,2 stops,No Info,13069,01:45
IndiGo,2024-09-14,Jaipur,Kolkata,23:08,5h 48m,non-stop,No Info,9058,04:56
GoAir,2025-09-01,Chennai,Hyderabad,07:18,9h 34m,2 stops,No check-in baggage included,2639,16:52
IndiGo,2025-01-22,Jaipur,Pune,03:15,6h 9m,3 stops,In-flight meal not included,3600,09:24
Air India,2025-01-03,Delhi,Chennai,12:13,6h 26m,3 stops,In-flight meal not included,8085,18:39
Vistara,2025-06-07,Hyderabad,Chennai,07:10,3h 12m,2 stops,No Info,13658,10:22
Alliance Air,2024-12-24,Jaipur,Mumbai,22:25,8h 1m,2 stops,In-flight meal not included,9458,06:26
AirAsia,2025-01-25,Delhi,Chennai,16:29,6h 36m,3 stops,No Info,2168,23:05
Alliance Air,2024-12-06,Hyderabad,Bangalore,11:24,8h 6m,3 stops,In-flight meal not included,10159,19:30
Vistara,2025-06-03,Kolkata,Chennai,11:19,8h 29m,1 stop,No check-in baggage included,12609,19:48
SpiceJet,2025-06-27,Hyderabad,Kolkata,01:37,7h 29m,2 stops,In-flight meal not included,4951,09:06
Vistara,2025-06-11,Hyderabad,Mumbai,06:35,9h 17m,non-stop,In-flight meal not included,10380,15:52
SpiceJet,2025-08-09,Delhi,Hyderabad,14:06,9h 45m,1 stop,No check-in baggage included,14196,23:51
Vistara,2024-12-03,Chennai,Hyderabad,07:29,9h 9m,1 stop,No Info,10880,16:38
AirAsia,2025-02-22,Jaipur,Pune,22:53,3h 23m,2 stops,No check-in baggage included,5140,02:16
IndiGo,2025-04-30,Kolkata,Jaipur,09:03,4h 6m,2 stops,No Info,8091,13:09
GoAir,2025-08-25,Mumbai,Bangalore,19:01,3h 17m,2 stops,No Info,4453,22:18
Air India,2025-06-16,Hyderabad,Mumbai,01:00,5h 58m,1 stop,No check-in baggage included,13757,06:58
SpiceJet,2025-02-20,Mumbai,Bangalore,11:44,5h 39m,1 stop,No check-in baggage included,14704,17:23
GoAir,2025-07-27,Chennai,Delhi,12:55,2h 43m,non-stop,In-flight meal not included,14822,15:38
IndiGo,2024-12-23,Bangalore,Mumbai,17:42,2h 38m,2 stops,No Info,14676,20:20
SpiceJet,2024-11-27,Hyderabad,Pune,14:47,6h 6m,1 stop,No check-in baggage included,12134,20:53
AirAsia,2025-08-16,Mumbai,Bangalore,21:25,3h 54m,2 stops,No check-in baggage included,6848,01:19
IndiGo,2024-10-22,Hyderabad,Jaipur,11:59,3h 22m,1 stop,No check-in baggage included,4117,15:21
GoAir,2025-04-09,Jaipur,Mumbai,01:25,1h 11m,2 stops,No Info,6205,02:36
Alliance Air,2025-04-12,Kolkata,Bangalore,17:37,6h 29m,2 stops,In-flight meal not included,6587,00:06
IndiGo,2025-07-08,Jaipur,Kolkata,19:51,7h 49m,1 stop,No check-in baggage included,3156,03:40
GoAir,2025-03-05,Kolkata,Jaipur,23:39,4h 38m,3 stops,In-flight meal not included,2982,04:17
Alliance Air,2025-02-09,Pune,Delhi,18:58,3h 17m,2 stops,In-flight meal not included,14386,22:15
AirAsia,2025-08-04,Mumbai,Pune,19:51,3h 34m,3 stops,No Info,4524,23:25
AirAsia,2024-09-17,Pune,Delhi,16:55,7h 35m,3 stops,No Info,7846,00:30
Air India,2025-01-30,Jaipur,Delhi,14:49,7h 25m,1 stop,In-flight meal not included,5382,22:14
IndiGo,2025-06-07,Jaipur,Bangalore,11:17,2h 47m,2 stops,No Info,12070,14:04
IndiGo,2025-05-12,Pune,Delhi,10:08,3h 29m,2 stops,No check-in baggage included,13591,13:37
Alliance Air,2025-07-27,Hyderabad,Pune,03:22,4h 50m,2 stops,No Info,9988,08:12
Vistara,2025-07-11,Kolkata,Jaipur,14:37,3h 3m,1 stop,In-flight meal not included,11825,17:40
SpiceJet,2025-08-24,Kolkata,Pune,17:24,7h 31m,2 stops,In-flight meal not included,4439,00:55
IndiGo,2025-02-27,Bangalore,Mumbai,03:42,3h 26m,1 stop,No check-in baggage included,2456,07:08
IndiGo,2025-04-22,Kolkata,Chennai,22:01,5h 3m,2 stops,No check-in baggage included,5574,03:04
Vistara,2025-05-21,Kolkata,Delhi,08:15,8h 21m,2 stops,In-flight meal not included,6163,16:36
Alliance Air,2024-12-02,Hyderabad,Mumbai,04:21,2h 3m,2 stops,No check-in baggage included,9063,06:24
Vistara,2024-12-24,Hyderabad,Jaipur,16:58,5h 42m,non-stop,In-flight meal not included,10709,22:40
Vistara,2024-12-29,Bangalore,Mumbai,21:06,6h 4m,non-stop,In-flight meal not included,7469,03:10
SpiceJet,2025-07-08,Hyderabad,Bangalore,14:43,1h 28m,2 stops,No check-in baggage included,11237,16:11
Air India,2025-07-06,Delhi,Jaipur,01:24,8h 51m,1 stop,No check-in baggage included,8512,10:15
SpiceJet,2025-01-23,Hyderabad,Kolkata,22:12,1h 8m,3 stops,No check-in baggage included,13563,23:20
AirAsia,2024-10-19,Hyderabad,Bangalore,13:33,6h 5m,2 stops,No check-in baggage included,2282,19:38
Air India,2025-06-22,Pune,Bangalore,06:25,7h 57m,3 stops,No Info,8547,14:22
IndiGo,2025-04-26,Jaipur,Bangalore,13:29,9h 30m,1 stop,No Info,10664,22:59
Air India,2025-06-19,Hyderabad,Delhi,05:44,1h 10m,2 stops,In-flight meal not included,6835,06:54
Air India,2025-08-31,Kolkata,Delhi,12:32,8h 2m,2 stops,No check-in baggage included,13744,20:34
Air India,2024-12-24,Mumbai,Delhi,08:08,6h 17m,3 stops,In-flight meal not included,8649,14:25
Vistara,2024-10-03,Mumbai,Delhi,13:55,9h 44m,1 stop,In-flight meal not included,13043,23:39
SpiceJet,2025-08-03,Kolkata,Hyderabad,02:46,1h 15m,1 stop,No Info,14372,04:01
SpiceJet,2025-05-11,Chennai,Delhi,00:50,4h 11m,non-stop,No Info,7792,05:01
IndiGo,2025-07-23,Jaipur,Mumbai,15:11,8h 40m,3 stops,In-flight meal not included,2543,23:51
Alliance Air,2025-01-22,Bangalore,Chennai,21:02,2h 15m,3 stops,In-flight meal not included,2318,23:17
GoAir,2024-09-18,Pune,Hyderabad,08:00,1h 22m,3 stops,In-flight meal not included,10215,09:22
Air India,2024-10-18,Hyderabad,Mumbai,11:16,4h 34m,1 stop,No Info,6264,15:50
Vistara,2024-10-24,Bangalore,Jaipur,16:04,8h 49m,2 stops,No check-in baggage included,9055,00:53
AirAsia,2024-11-21,Chennai,Kolkata,14:36,6h 47m,2 stops,No Info,2501,21:23
GoAir,2024-11-08,Kolkata,Hyderabad,10:23,1h 23m,2 stops,No check-in baggage included,3952,11:46
Vistara,2025-01-27,Mumbai,Kolkata,04:02,3h 38m,2 stops,In-flight meal not included,4369,07:40
GoAir,2024-09-17,Pune,Mumbai,10:39,3h 13m,2 stops,No check-in baggage included,13861,13:52
AirAsia,2025-05-15,Kolkata,Hyderabad,05:40,3h 40m,3 stops,In-flight meal not included,3532,09:20
Air India,2024-10-03,Kolkata,Hyderabad,18:35,5h 34m,1 stop,No check-in baggage included,7371,00:09
SpiceJet,2025-01-28,Pune,Mumbai,06:36,4h 20m,2 stops,In-flight meal not included,5989,10:56
GoAir,2024-11-26,Chennai,Mumbai,15:40,3h 55m,3 stops,No check-in baggage included,11799,19:35
IndiGo,2024-10-15,Bangalore,Chennai,21:25,9h 49m,3 stops,No check-in baggage included,8406,07:14
Air India,2024-10-13,Bangalore,Mumbai,10:24,2h 26m,non-stop,No check-in baggage included,9793,12:50
Alliance Air,2024-11-02,Chennai,Delhi,22:07,3h 13m,3 stops,In-flight meal not included,4568,01:20
GoAir,2024-09-12,Chennai,Jaipur,03:06,2h 50m,1 stop,No Info,2501,05:56
GoAir,2025-06-06,Pune,Bangalore,12:07,2h 5m,2 stops,No check-in baggage included,11722,14:12
IndiGo,2024-09-07,Pune,Kolkata,10:57,6h 7m,3 stops,No Info,8791,17:04
Alliance Air,2025-08-24,Bangalore,Pune,04:29,7h 44m,non-stop,No check-in baggage included,11913,12:13
AirAsia,2025-04-17,Bangalore,Delhi,01:43,3h 24m,1 stop,No check-in baggage included,6788,05:07
Air India,2025-08-31,Bangalore,Hyderabad,06:09,2h 47m,2 stops,In-flight meal not included,13891,08:56
Alliance Air,2025-08-15,Delhi,Mumbai,10:54,8h 31m,non-stop,No Info,10859,19:25
Vistara,2025-04-13,Jaipur,Kolkata,14:46,3h 34m,non-stop,No check-in baggage included,6955,18:20
Alliance Air,2025-06-19,Kolkata,Pune,23:09,4h 41m,non-stop,In-flight meal not included,12668,03:50
AirAsia,2024-11-12,Delhi,Pune,06:56,3h 3m,3 stops,No check-in baggage included,11590,09:59
Air India,2025-04-05,Mumbai,Kolkata,16:43,3h 36m,3 stops,No Info,8313,20:19
IndiGo,2025-08-27,Jaipur,Delhi,20:22,2h 42m,1 stop,No Info,12869,23:04
Vistara,2025-02-22,Delhi,Bangalore,04:48,5h 19m,3 stops,No check-in baggage included,13620,10:07
SpiceJet,2025-03-15,Delhi,Kolkata,10:02,1h 3m,non-stop,No Info,4292,11:05
Alliance Air,2025-02-16,Pune,Bangalore,19:45,6h 38m,1 stop,No check-in baggage included,7042,02:23
AirAsia,2025-03-23,Kolkata,Bangalore,17:02,7h 6m,2 stops,No Info,9324,00:08
IndiGo,2024-11-24,Mumbai,Chennai,14:19,6h 24m,3 stops,No Info,2014,20:43
IndiGo,2025-06-17,Bangalore,Chennai,17:14,5h 34m,2 stops,No check-in baggage included,5292,22:48
SpiceJet,2025-06-16,Pune,Jaipur,09:41,1h 14m,non-stop,No check-in baggage included,4881,10:55
SpiceJet,2025-02-08,Chennai,Delhi,14:42,9h 35m,2 stops,In-flight meal not included,10378,00:17
SpiceJet,2025-08-21,Hyderabad,Mumbai,16:03,7h 3m,1 stop,No Info,5540,23:06
AirAsia,2025-08-18,Jaipur,Bangalore,16:28,1h 4m,2 stops,No Info,9271,17:32
Vistara,2024-10-04,Pune,Hyderabad,18:29,9h 34m,non-stop,In-flight meal not included,2589,04:03
Air India,2024-09-21,Kolkata,Hyderabad,12:03,9h 37m,non-stop,No check-in baggage included,3472,21:40
IndiGo,2025-05-01,Chennai,Pune,05:41,5h 20m,2 stops,No check-in baggage included,14406,11:01
GoAir,2025-05-14,Delhi,Pune,00:51,4h 42m,1 stop,No check-in baggage included,6196,05:33
Air India,2024-12-17,Jaipur,Hyderabad,06:32,7h 49m,2 stops,In-flight meal not included,14036,14:21
IndiGo,2025-06-13,Mumbai,Jaipur,01:04,9h 27m,1 stop,No Info,8304,10:31
GoAir,2025-01-02,Bangalore,Chennai,19:38,5h 48m,3 stops,No Info,2177,01:26
GoAir,2024-11-21,Bangalore,Jaipur,21:31,1h 3m,non-stop,In-flight meal not included,4136,22:34
SpiceJet,2024-10-12,Mumbai,Pune,21:40,8h 7m,2 stops,No Info,12321,05:47
IndiGo,2025-03-01,Mumbai,Delhi,11:24,6h 30m,3 stops,In-flight meal not included,6263,17:54
GoAir,2025-08-21,Delhi,Bangalore,12:32,3h 19m,3 stops,In-flight meal not included,12668,15:51
Air India,2024-10-04,Bangalore,Mumbai,21:41,9h 26m,3 stops,In-flight meal not included,5333,07:07
Alliance Air,2024-10-28,Jaipur,Hyderabad,04:09,3h 22m,1 stop,No Info,9568,07:31
GoAir,2024-11-27,Hyderabad,Delhi,08:52,8h 14m,3 stops,No Info,2880,17:06
Vistara,2024-12-05,Delhi,Pune,03:27,2h 20m,non-stop,No check-in baggage included,6348,05:47
GoAir,2025-05-06,Delhi,Bangalore,08:56,2h 4m,3 stops,In-flight meal not included,7508,11:00
SpiceJet,2025-05-31,Chennai,Pune,15:23,5h 28m,2 stops,In-flight meal not included,6445,20:51
GoAir,2024-12-25,Delhi,Hyderabad,18:13,1h 48m,1 stop,No Info,11586,20:01
Alliance Air,2025-04-16,Mumbai,Pune,08:35,4h 30m,3 stops,In-flight meal not included,7419,13:05
SpiceJet,2025-01-31,Delhi,Pune,22:32,3h 5m,3 stops,No check-in baggage included,4956,01:37
Vistara,2025-02-10,Hyderabad,Mumbai,12:35,4h 44m,2 stops,No check-in baggage included,12888,17:19
Air India,2024-10-09,Bangalore,Mumbai,13:16,8h 36m,non-stop,No Info,8661,21:52
AirAsia,2025-02-15,Bangalore,Chennai,14:20,8h 57m,non-stop,In-flight meal not included,6180,23:17
Air India,2024-11-23,Chennai,Kolkata,17:43,7h 40m,2 stops,No check-in baggage included,3069,01:23
Vistara,2025-05-12,Hyderabad,Pune,02:17,2h 17m,3 stops,No Info,8962,04:34
GoAir,2025-04-30,Chennai,Jaipur,18:18,3h 22m,3 stops,In-flight meal not included,14577,21:40
Vistara,2025-04-04,Mumbai,Bangalore,09:53,8h 13m,2 stops,No check-in baggage included,13478,18:06
SpiceJet,2025-04-05,Pune,Hyderabad,22:05,7h 21m,non-stop,In-flight meal not included,14433,05:26
GoAir,2024-12-10,Bangalore,Jaipur,22:20,4h 10m,3 stops,In-flight meal not included,11249,02:30
Alliance Air,2025-02-07,Hyderabad,Chennai,21:22,6h 26m,2 stops,No Info,4000,03:48
Alliance Air,2025-07-15,Mumbai,Pune,22:45,7h 53m,1 stop,No Info,11602,06:38
Alliance Air,2025-07-14,Chennai,Jaipur,01:12,6h 45m,1 stop,In-flight meal not included,13238,07:57
GoAir,2025-05-16,Pune,Mumbai,08:53,4h 36m,non-stop,In-flight meal not included,14213,13:29
Alliance Air,2025-03-28,Delhi,Chennai,10:14,5h 43m,2 stops,No check-in baggage included,7472,15:57
GoAir,2024-12-02,Bangalore,Chennai,09:24,1h 6m,1 stop,No check-in baggage included,5709,10:30
AirAsia,2025-01-22,Bangalore,Pune,03:56,8h 14m,2 stops,No Info,13813,12:10
Vistara,2024-09-20,Pune,Delhi,22:13,3h 1m,1 stop,No check-in baggage included,10201,01:14
Alliance Air,2024-09-27,Jaipur,Delhi,15:59,2h 16m,non-stop,No check-in baggage included,6199,18:15
SpiceJet,2025-02-01,Jaipur,Bangalore,18:37,4h 28m,3 stops,In-flight meal not included,11257,23:05
Vistara,2024-09-29,Chennai,Bangalore,17:41,1h 6m,1 stop,In-flight meal not included,13627,18:47
SpiceJet,2025-04-10,Pune,Chennai,14:46,5h 52m,2 stops,No Info,10855,20:38
AirAsia,2024-10-20,Kolkata,Jaipur,14:48,8h 57m,2 stops,In-flight meal not included,14547,23:45
IndiGo,2025-05-10,Kolkata,Delhi,11:49,6h 36m,non-stop,No Info,5115,18:25
Alliance Air,2024-11-05,Chennai,Hyderabad,16:34,7h 24m,2 stops,No Info,10656,23:58
Air India,2025-06-25,Jaipur,Delhi,00:03,6h 24m,non-stop,No check-in baggage included,2058,06:27
IndiGo,2024-09-10,Bangalore,Pune,04:30,2h 20m,3 stops,No Info,11544,06:50
IndiGo,2024-12-02,Chennai,Jaipur,23:11,3h 6m,1 stop,In-flight meal not included,10821,02:17
Vistara,2024-12-20,Delhi,Jaipur,12:38,2h 45m,non-stop,No Info,10704,15:23
Vistara,2024-10-25,Bangalore,Hyderabad,13:46,3h 0m,1 stop,No check-in baggage included,6355,16:46
Alliance Air,2025-08-23,Mumbai,Jaipur,02:50,6h 59m,1 stop,No check-in baggage included,10663,09:49
GoAir,2025-07-23,Kolkata,Mumbai,15:32,4h 2m,1 stop,No Info,7176,19:34
Air India,2025-05-24,Delhi,Pune,21:41,1h 22m,2 stops,No Info,6746,23:03
Air India,2025-01-15,Chennai,Jaipur,05:21,1h 46m,non-stop,No check-in baggage included,3870,07:07
GoAir,2025-07-26,Kolkata,Pune,18:02,4h 2m,non-stop,No Info,14425,22:04
Alliance Air,2025-01-20,Delhi,Jaipur,04:13,6h 15m,3 stops,No Info,9357,10:28
Alliance Air,2024-12-17,Mumbai,Kolkata,22:25,3h 42m,1 stop,In-flight meal not included,4718,02:07
Vistara,2025-03-30,Chennai,Jaipur,09:38,2h 20m,2 stops,No check-in baggage included,2102,11:58
SpiceJet,2025-05-09,Chennai,Hyderabad,06:41,6h 6m,1 stop,No Info,11715,12:47
Alliance Air,2025-03-08,Chennai,Jaipur,15:32,2h 56m,1 stop,In-flight meal not included,10753,18:28
GoAir,2025-05-25,Mumbai,Delhi,11:25,8h 11m,non-stop,No Info,14708,19:36
Air India,2025-08-27,Hyderabad,Pune,22:06,9h 17m,2 stops,No check-in baggage included,12754,07:23
Air India,2025-07-21,Pune,Bangalore,20:13,8h 8m,1 stop,No check-in baggage included,8712,04:21
SpiceJet,2025-04-11,Hyderabad,Kolkata,12:14,6h 51m,non-stop,No check-in baggage included,3470,19:05
SpiceJet,2025-07-05,Jaipur,Pune,07:16,5h 45m,3 stops,No check-in baggage included,11247,13:01
GoAir,2024-12-09,Delhi,Kolkata,17:15,2h 53m,3 stops,In-flight meal not included,13036,20:08
Alliance Air,2025-08-11,Kolkata,Jaipur,06:59,3h 41m,1 stop,No Info,8969,10:40
IndiGo,2025-08-16,Jaipur,Delhi,11:24,1h 14m,1 stop,No check-in baggage included,2468,12:38
Alliance Air,2024-10-21,Pune,Hyderabad,06:22,9h 5m,3 stops,No Info,8641,15:27
Vistara,2025-04-28,Pune,Hyderabad,20:05,3h 24m,1 stop,No check-in baggage included,4085,23:29
SpiceJet,2025-04-24,Chennai,Jaipur,13:17,3h 43m,non-stop,No Info,8656,17:00
SpiceJet,2025-06-15,Hyderabad,Pune,16:34,3h 43m,2 stops,No Info,11847,20:17
Air India,2025-05-11,Bangalore,Mumbai,18:26,4h 11m,non-stop,No check-in baggage included,6912,22:37
Alliance Air,2025-04-12,Bangalore,Mumbai,16:56,9h 3m,1 stop,No check-in baggage included,5298,01:59
Vistara,2024-12-11,Kolkata,Hyderabad,11:34,8h 31m,non-stop,No check-in baggage included,8845,20:05
IndiGo,2024-09-19,Hyderabad,Jaipur,19:51,6h 59m,non-stop,No Info,14354,02:50
Air India,2024-12-21,Kolkata,Bangalore,16:43,7h 28m,2 stops,No Info,7920,00:11
GoAir,2025-06-10,Jaipur,Mumbai,01:20,9h 28m,3 stops,In-flight meal not included,10961,10:48
Air India,2025-01-13,Jaipur,Mumbai,00:41,9h 8m,2 stops,No Info,7045,09:49
Alliance Air,2025-04-21,Kolkata,Mumbai,14:58,8h 37m,3 stops,In-flight meal not included,14276,23:35
Alliance Air,2025-04-22,Kolkata,Hyderabad,06:19,5h 25m,2 stops,No Info,2864,11:44
AirAsia,2024-10-17,Pune,Kolkata,03:18,3h 28m,3 stops,No Info,4874,06:46
AirAsia,2025-08-15,Delhi,Mumbai,14:36,8h 51m,3 stops,In-flight meal not included,7175,23:27
AirAsia,2025-06-03,Bangalore,Delhi,06:28,6h 23m,2 stops,No Info,14052,12:51
Air India,2024-10-30,Kolkata,Pune,02:25,8h 48m,1 stop,No check-in baggage included,10032,11:13
AirAsia,2024-11-22,Hyderabad,Delhi,17:31,1h 1m,non-stop,No Info,13329,18:32
GoAir,2024-12-23,Bangalore,Jaipur,12:49,7h 34m,non-stop,No check-in baggage included,6524,20:23
Vistara,2025-05-03,Chennai,Mumbai,18:36,5h 48m,3 stops,No Info,12984,00:24
SpiceJet,2025-08-17,Pune,Bangalore,03:44,2h 1m,1 stop,No check-in baggage included,7231,05:45
Air India,2025-03-05,Chennai,Hyderabad,09:24,7h 42m,non-stop,In-flight meal not included,12518,17:06
Vistara,2025-07-13,Mumbai,Delhi,21:55,8h 37m,3 stops,No Info,6744,06:32
SpiceJet,2025-03-31,Chennai,Pune,07:48,1h 19m,non-stop,In-flight meal not included,11290,09:07
Air India,2025-01-21,Kolkata,Bangalore,23:50,5h 5m,3 stops,No check-in baggage included,4672,04:55
Alliance Air,2025-01-22,Jaipur,Pune,00:48,6h 52m,2 stops,No check-in baggage included,3638,07:40
Alliance Air,2025-01-10,Mumbai,Bangalore,17:19,9h 45m,1 stop,In-flight meal not included,3030,03:04
GoAir,2025-02-20,Pune,Mumbai,01:48,1h 51m,1 stop,No check-in baggage included,13255,03:39
Alliance Air,2025-03-12,Chennai,Bangalore,13:40,4h 36m,non-stop,No check-in baggage included,4500,18:16
AirAsia,2025-05-17,Bangalore,Delhi,12:52,9h 13m,non-stop,No check-in baggage included,10005,22:05
Air India,2025-01-12,Delhi,Kolkata,18:34,3h 55m,3 stops,No check-in baggage included,3591,22:29
Air India,2024-09-26,Kolkata,Pune,19:10,3h 10m,1 stop,No check-in baggage included,7770,22:20
SpiceJet,2025-08-05,Delhi,Hyderabad,23:00,9h 7m,non-stop,No check-in baggage included,6537,08:07
Vistara,2025-07-17,Delhi,Pune,08:31,8h 14m,non-stop,No check-in baggage included,14198,16:45
Alliance Air,2025-01-12,Jaipur,Pune,16:37,8h 37m,non-stop,No Info,13013,01:14
AirAsia,2025-06-10,Pune,Chennai,20:30,8h 8m,non-stop,No check-in baggage included,2830,04:38
GoAir,2024-10-08,Delhi,Bangalore,03:27,1h 30m,non-stop,In-flight meal not included,6745,04:57
IndiGo,2025-08-24,Kolkata,Delhi,16:16,6h 30m,3 stops,No Info,14120,22:46
Alliance Air,2025-06-11,Kolkata,Delhi,19:17,4h 57m,2 stops,No Info,2784,00:14
IndiGo,2024-10-11,Jaipur,Mumbai,22:18,2h 52m,3 stops,No Info,14412,01:10
AirAsia,2024-11-16,Pune,Mumbai,02:09,8h 57m,non-stop,No check-in baggage included,8519,11:06
AirAsia,2025-06-15,Pune,Hyderabad,17:30,5h 53m,non-stop,No Info,13312,23:23
IndiGo,2024-12-06,Chennai,Mumbai,03:18,2h 0m,3 stops,No check-in baggage included,7923,05:18
Air India,2024-11-21,Mumbai,Jaipur,20:24,1h 54m,1 stop,In-flight meal not included,4526,22:18
Vistara,2025-04-12,Bangalore,Jaipur,16:46,2h 0m,1 stop,No check-in baggage included,10224,18:46
IndiGo,2025-07-12,Delhi,Mumbai,05:56,4h 28m,3 stops,No check-in baggage included,5529,10:24
Vistara,2024-12-24,Bangalore,Mumbai,13:28,3h 37m,2 stops,No check-in baggage included,11123,17:05
Alliance Air,2025-07-11,Hyderabad,Kolkata,18:23,6h 25m,non-stop,No Info,4922,00:48
SpiceJet,2024-10-10,Jaipur,Hyderabad,09:05,8h 14m,1 stop,No Info,8722,17:19
Vistara,2024-12-24,Delhi,Kolkata,08:45,2h 8m,2 stops,No Info,4581,10:53
Vistara,2025-06-18,Bangalore,Mumbai,04:02,9h 6m,3 stops,No check-in baggage included,8978,13:08
AirAsia,2024-10-29,Jaipur,Bangalore,04:13,2h 33m,non-stop,No check-in baggage included,4135,06:46
SpiceJet,2024-10-02,Pune,Mumbai,09:53,6h 45m,1 stop,No check-in baggage included,14978,16:38
IndiGo,2024-09-23,Chennai,Bangalore,20:55,5h 51m,2 stops,No Info,14595,02:46
SpiceJet,2025-05-10,Chennai,Pune,22:58,1h 29m,1 stop,No check-in baggage included,5334,00:27
SpiceJet,2025-05-22,Delhi,Hyderabad,02:13,2h 12m,non-stop,No Info,3746,04:25
IndiGo,2025-05-05,Jaipur,Pune,05:30,4h 9m,2 stops,No check-in baggage included,12639,09:39
Air India,2025-05-03,Delhi,Kolkata,22:00,7h 4m,2 stops,No Info,14107,05:04
SpiceJet,2025-05-30,Delhi,Mumbai,17:32,7h 8m,3 stops,No check-in baggage included,6408,00:40
IndiGo,2025-02-10,Chennai,Bangalore,15:48,5h 50m,3 stops,In-flight meal not included,6483,21:38
Vistara,2024-09-02,Chennai,Delhi,07:20,8h 21m,3 stops,No Info,8373,15:41
Air India,2025-03-16,Kolkata,Chennai,23:18,8h 46m,1 stop,No check-in baggage included,10430,08:04
AirAsia,2025-03-21,Hyderabad,Chennai,21:37,5h 11m,3 stops,In-flight meal not included,5117,02:48
Air India,2024-10-16,Bangalore,Mumbai,22:19,1h 8m,non-stop,No Info,3067,23:27
Vistara,2025-07-04,Kolkata,Bangalore,20:40,9h 55m,non-stop,In-flight meal not included,2446,06:35
SpiceJet,2024-11-07,Mumbai,Pune,21:08,7h 58m,3 stops,No check-in baggage included,4439,05:06
AirAsia,2024-10-27,Delhi,Jaipur,16:40,9h 27m,2 stops,In-flight meal not included,14723,02:07
