City,Advisory_Date,Advisory_Level,Reason,Affected_Routes,Additional_Info,Validity
Pune,2024-10-31,Low,Infrastructure issues,Chennai to Delhi,Monitor local news,Indefinite
Delhi,2025-04-17,High,Weather,Kolkata to Mumbai,Check with airlines,3 days
Hyderabad,2025-08-23,Severe,Political unrest,Jaipur to Bangalore,No Info,Indefinite
Jaipur,2025-06-19,Low,Infrastructure issues,Bangalore to Pune,Avoid non-essential travel,1 day
Bangalore,2025-01-12,Severe,Political unrest,Kolkata to Hyderabad,Check with airlines,1 day
Chennai,2025-07-18,Low,Political unrest,Kolkata to Mumbai,Avoid non-essential travel,Indefinite
Kolkata,2025-08-13,High,Political unrest,Bangalore to Kolkata,Avoid non-essential travel,1 week
Bangalore,2025-05-12,Moderate,Political unrest,Hyderabad to Mumbai,Avoid non-essential travel,1 day
Hyderabad,2025-07-06,Low,Security concerns,Bangalore to Mumbai,Avoid non-essential travel,Indefinite
Kolkata,2025-08-17,High,Infrastructure issues,Chennai to Mumbai,Follow local guidelines,1 week
Kolkata,2025-01-12,High,Weather,Hyderabad to Jaipur,Avoid non-essential travel,1 day
Pune,2025-04-08,Moderate,Political unrest,Bangalore to Pune,Monitor local news,3 days
Mumbai,2024-12-17,Moderate,Security concerns,Pune to Kolkata,Monitor local news,Indefinite
Chennai,2025-02-19,Moderate,Infrastructure issues,Mumbai to Hyderabad,Monitor local news,1 day
Pune,2025-05-21,Moderate,Health advisory,Chennai to Kolkata,Monitor local news,1 week
Chennai,2025-04-28,Severe,Political unrest,Hyderabad to Delhi,No Info,1 day
Bangalore,2025-05-11,High,Weather,Mumbai to Bangalore,Monitor local news,1 week
Delhi,2025-03-27,Severe,Health advisory,Delhi to Chennai,No Info,1 day
Delhi,2024-12-08,High,Weather,Pune to Kolkata,Check with airlines,Indefinite
Jaipur,2025-01-26,High,Weather,Jaipur to Chennai,Monitor local news,3 days
Bangalore,2025-08-24,Low,Infrastructure issues,Hyderabad to Delhi,Follow local guidelines,1 day
Hyderabad,2024-12-26,High,Security concerns,Bangalore to Hyderabad,Follow local guidelines,Indefinite
Hyderabad,2024-09-02,High,Infrastructure issues,Bangalore to Kolkata,Monitor local news,1 week
Pune,2025-02-10,Low,Health advisory,Jaipur to Hyderabad,Avoid non-essential travel,1 day
Hyderabad,2025-06-14,Severe,Health advisory,Kolkata to Hyderabad,No Info,1 day
Pune,2025-03-18,Low,Infrastructure issues,Hyderabad to Kolkata,Follow local guidelines,3 days
Jaipur,2025-07-23,Moderate,Infrastructure issues,Bangalore to Mumbai,Monitor local news,1 week
Chennai,2025-02-17,Low,Security concerns,Delhi to Kolkata,No Info,1 day
Delhi,2025-04-03,Severe,Health advisory,Mumbai to Pune,Check with airlines,1 day
Bangalore,2025-02-02,Moderate,Political unrest,Pune to Hyderabad,Monitor local news,1 week
Pune,2024-11-14,Severe,Weather,Jaipur to Delhi,Follow local guidelines,Indefinite
Bangalore,2024-09-29,Low,Weather,Pune to Jaipur,Check with airlines,1 week
Pune,2024-12-15,High,Health advisory,Mumbai to Hyderabad,Avoid non-essential travel,Indefinite
Hyderabad,2025-03-01,High,Weather,Bangalore to Delhi,No Info,1 day
Delhi,2025-07-21,Moderate,Infrastructure issues,Pune to Chennai,Follow local guidelines,1 day
Kolkata,2025-08-28,Severe,Weather,Bangalore to Jaipur,Monitor local news,3 days
Jaipur,2024-09-12,High,Political unrest,Kolkata to Pune,Avoid non-essential travel,1 day
Jaipur,2025-08-23,Low,Infrastructure issues,Pune to Jaipur,Monitor local news,3 days
Kolkata,2025-06-25,Low,Weather,Hyderabad to Pune,Follow local guidelines,1 week
Chennai,2025-02-02,Severe,Health advisory,Pune to Delhi,Avoid non-essential travel,Indefinite
Kolkata,2025-03-19,Low,Weather,Mumbai to Jaipur,Avoid non-essential travel,1 day
Chennai,2025-01-14,Moderate,Weather,Delhi to Bangalore,Check with airlines,1 day
Chennai,2025-07-25,Low,Security concerns,Chennai to Kolkata,Monitor local news,1 day
Hyderabad,2024-12-26,High,Infrastructure issues,Mumbai to Jaipur,Follow local guidelines,Indefinite
Chennai,2025-03-13,Moderate,Weather,Chennai to Bangalore,Monitor local news,1 week
Jaipur,2024-11-11,Low,Political unrest,Jaipur to Kolkata,No Info,1 day
Kolkata,2025-02-06,Low,Health advisory,Chennai to Jaipur,Monitor local news,Indefinite
Kolkata,2024-10-11,Moderate,Infrastructure issues,Bangalore to Kolkata,Monitor local news,1 week
Jaipur,2025-08-20,High,Health advisory,Chennai to Delhi,Monitor local news,1 day
Delhi,2024-12-17,Severe,Weather,Chennai to Delhi,Monitor local news,3 days
Delhi,2024-09-02,Moderate,Weather,Kolkata to Hyderabad,No Info,Indefinite
Jaipur,2024-09-16,High,Health advisory,Bangalore to Pune,Monitor local news,3 days
Hyderabad,2025-01-22,Moderate,Political unrest,Hyderabad to Chennai,Follow local guidelines,1 week
Mumbai,2025-03-15,Moderate,Health advisory,Pune to Kolkata,Check with airlines,1 week
Chennai,2024-09-01,High,Security concerns,Kolkata to Hyderabad,Follow local guidelines,1 day
Pune,2025-03-26,Severe,Health advisory,Mumbai to Kolkata,Follow local guidelines,Indefinite
Chennai,2025-02-01,Moderate,Infrastructure issues,Hyderabad to Mumbai,Check with airlines,1 day
Kolkata,2025-03-12,Low,Health advisory,Bangalore to Jaipur,Follow local guidelines,Indefinite
Pune,2025-06-30,Severe,Infrastructure issues,Chennai to Delhi,Monitor local news,1 week
Mumbai,2025-06-20,Low,Infrastructure issues,Delhi to Kolkata,Avoid non-essential travel,1 day
Chennai,2025-02-01,Severe,Weather,Pune to Delhi,Monitor local news,1 week
Chennai,2025-06-29,Low,Political unrest,Kolkata to Hyderabad,Monitor local news,3 days
Hyderabad,2025-05-28,High,Weather,Chennai to Bangalore,Follow local guidelines,1 week
Bangalore,2025-05-07,High,Health advisory,Bangalore to Kolkata,Check with airlines,1 week
Chennai,2025-07-30,High,Weather,Pune to Kolkata,Avoid non-essential travel,Indefinite
Chennai,2025-01-11,Low,Infrastructure issues,Pune to Chennai,Avoid non-essential travel,1 day
Bangalore,2024-10-03,Low,Weather,Delhi to Bangalore,Monitor local news,1 day
Mumbai,2025-02-16,High,Security concerns,Kolkata to Chennai,Monitor local news,1 day
Mumbai,2025-09-01,Moderate,Political unrest,Pune to Chennai,Avoid non-essential travel,Indefinite
Delhi,2025-08-02,Moderate,Political unrest,Hyderabad to Chennai,Follow local guidelines,1 day
Chennai,2024-11-07,Low,Infrastructure issues,Chennai to Bangalore,No Info,3 days
Pune,2025-01-14,Severe,Security concerns,Pune to Hyderabad,Monitor local news,3 days
Kolkata,2025-08-07,Severe,Political unrest,Hyderabad to Chennai,Follow local guidelines,1 week
Mumbai,2025-05-04,High,Infrastructure issues,Delhi to Hyderabad,Monitor local news,Indefinite
Bangalore,2025-06-28,Severe,Political unrest,Delhi to Kolkata,Avoid non-essential travel,1 week
Mumbai,2024-12-14,Severe,Political unrest,Mumbai to Pune,Avoid non-essential travel,1 day
Pune,2025-02-27,Moderate,Weather,Mumbai to Delhi,Monitor local news,1 day
Kolkata,2024-09-08,Moderate,Political unrest,Chennai to Pune,Follow local guidelines,1 week
Delhi,2024-11-03,High,Health advisory,Bangalore to Pune,Follow local guidelines,3 days
Delhi,2025-08-19,Severe,Security concerns,Hyderabad to Chennai,No Info,1 day
Kolkata,2025-06-20,Severe,Political unrest,Chennai to Bangalore,Monitor local news,3 days
Kolkata,2025-04-10,Severe,Political unrest,Mumbai to Hyderabad,No Info,3 days
Hyderabad,2024-11-10,Low,Infrastructure issues,Bangalore to Hyderabad,Avoid non-essential travel,1 week
Chennai,2024-10-19,Moderate,Health advisory,Mumbai to Jaipur,Check with airlines,1 week
Delhi,2025-02-13,Low,Health advisory,Mumbai to Bangalore,Avoid non-essential travel,1 day
Pune,2025-07-29,Moderate,Infrastructure issues,Bangalore to Pune,Avoid non-essential travel,Indefinite
Hyderabad,2024-10-19,Severe,Health advisory,Bangalore to Mumbai,No Info,Indefinite
Delhi,2024-12-22,Moderate,Health advisory,Chennai to Pune,Check with airlines,1 day
Delhi,2025-07-03,High,Security concerns,Pune to Bangalore,Check with airlines,1 day
Hyderabad,2024-12-14,High,Infrastructure issues,Jaipur to Delhi,Monitor local news,1 week
Delhi,2025-07-17,High,Infrastructure issues,Pune to Hyderabad,No Info,3 days
Hyderabad,2024-11-28,High,Security concerns,Mumbai to Pune,Follow local guidelines,3 days
Chennai,2024-09-03,Moderate,Infrastructure issues,Chennai to Delhi,Follow local guidelines,1 week
Jaipur,2025-05-09,Moderate,Political unrest,Pune to Bangalore,Follow local guidelines,1 week
Hyderabad,2024-12-16,Low,Infrastructure issues,Mumbai to Hyderabad,No Info,Indefinite
Kolkata,2025-08-16,High,Infrastructure issues,Bangalore to Jaipur,Avoid non-essential travel,Indefinite
Chennai,2025-07-10,Moderate,Security concerns,Pune to Delhi,Monitor local news,1 day
Jaipur,2024-11-25,High,Security concerns,Chennai to Mumbai,Monitor local news,1 week
Hyderabad,2025-03-26,Severe,Political unrest,Bangalore to Kolkata,Check with airlines,Indefinite
Hyderabad,2025-03-22,High,Weather,Hyderabad to Pune,Check with airlines,3 days
Delhi,2024-10-11,Moderate,Weather,Delhi to Mumbai,Avoid non-essential travel,3 days
Jaipur,2025-01-26,High,Weather,Jaipur to Mumbai,No Info,Indefinite
Bangalore,2025-08-14,Low,Political unrest,Hyderabad to Mumbai,Follow local guidelines,1 week
Pune,2025-06-02,Low,Infrastructure issues,Hyderabad to Bangalore,Follow local guidelines,3 days
Jaipur,2025-06-26,Low,Infrastructure issues,Chennai to Pune,Monitor local news,3 days
Delhi,2024-12-11,Severe,Health advisory,Chennai to Mumbai,Avoid non-essential travel,Indefinite
Delhi,2024-11-08,Moderate,Health advisory,Mumbai to Delhi,Follow local guidelines,3 days
Delhi,2025-01-07,High,Weather,Mumbai to Chennai,Follow local guidelines,3 days
Pune,2025-06-13,Low,Security concerns,Pune to Delhi,Avoid non-essential travel,3 days
Chennai,2025-04-30,High,Security concerns,Kolkata to Delhi,Follow local guidelines,Indefinite
Kolkata,2024-10-12,Severe,Political unrest,Mumbai to Kolkata,Monitor local news,1 week
Jaipur,2025-07-13,Severe,Security concerns,Jaipur to Chennai,No Info,1 week
Delhi,2025-03-02,Severe,Weather,Kolkata to Chennai,No Info,3 days
Hyderabad,2024-12-02,Severe,Infrastructure issues,Kolkata to Chennai,Follow local guidelines,1 week
Jaipur,2024-09-06,Low,Weather,Hyderabad to Delhi,Avoid non-essential travel,Indefinite
Jaipur,2025-05-01,Low,Health advisory,Delhi to Jaipur,No Info,1 day
Bangalore,2024-09-13,High,Weather,Mumbai to Chennai,Follow local guidelines,Indefinite
Mumbai,2025-03-08,High,Infrastructure issues,Kolkata to Delhi,No Info,3 days
Kolkata,2024-10-21,Moderate,Security concerns,Hyderabad to Pune,Follow local guidelines,1 week
Jaipur,2025-02-28,Moderate,Infrastructure issues,Kolkata to Jaipur,Monitor local news,1 day
Jaipur,2025-08-22,Severe,Political unrest,Bangalore to Jaipur,No Info,1 week
Delhi,2025-07-19,High,Political unrest,Mumbai to Pune,No Info,1 day
Chennai,2025-06-23,Severe,Health advisory,Mumbai to Jaipur,Check with airlines,1 week
Hyderabad,2025-04-25,Low,Infrastructure issues,Bangalore to Jaipur,Check with airlines,1 day
Mumbai,2025-04-14,Moderate,Weather,Bangalore to Kolkata,Avoid non-essential travel,1 week
Chennai,2025-06-09,High,Health advisory,Chennai to Jaipur,Avoid non-essential travel,3 days
Bangalore,2025-02-26,Severe,Political unrest,Hyderabad to Chennai,No Info,1 week
Delhi,2025-08-12,Low,Weather,Delhi to Hyderabad,Follow local guidelines,3 days
Pune,2025-01-17,Severe,Health advisory,Mumbai to Jaipur,Check with airlines,3 days
Pune,2025-02-28,High,Infrastructure issues,Pune to Mumbai,Avoid non-essential travel,Indefinite
Mumbai,2024-11-06,Moderate,Political unrest,Bangalore to Jaipur,Follow local guidelines,1 week
Pune,2025-06-23,High,Security concerns,Bangalore to Mumbai,Monitor local news,Indefinite
Bangalore,2025-07-13,Severe,Political unrest,Pune to Delhi,Avoid non-essential travel,3 days
Mumbai,2025-03-09,High,Political unrest,Hyderabad to Chennai,Avoid non-essential travel,1 day
Kolkata,2025-05-12,High,Weather,Kolkata to Chennai,Avoid non-essential travel,1 week
Kolkata,2025-01-10,Moderate,Infrastructure issues,Chennai to Hyderabad,No Info,1 day
Chennai,2025-05-19,Moderate,Political unrest,Jaipur to Pune,Follow local guidelines,1 day
Jaipur,2025-01-06,Moderate,Political unrest,Pune to Bangalore,Avoid non-essential travel,3 days
Bangalore,2024-12-19,Moderate,Weather,Bangalore to Delhi,Monitor local news,3 days
Mumbai,2024-12-09,Severe,Security concerns,Delhi to Kolkata,Check with airlines,1 week
Kolkata,2024-09-11,Severe,Infrastructure issues,Delhi to Mumbai,Follow local guidelines,1 day
Bangalore,2025-04-25,Severe,Political unrest,Hyderabad to Pune,Monitor local news,1 week
Mumbai,2025-04-04,Moderate,Health advisory,Kolkata to Chennai,Follow local guidelines,3 days
Mumbai,2025-01-26,Severe,Infrastructure issues,Kolkata to Jaipur,Avoid non-essential travel,3 days
Bangalore,2025-02-20,Severe,Security concerns,Jaipur to Pune,No Info,1 week
Pune,2024-10-31,High,Weather,Hyderabad to Pune,Monitor local news,1 week
Jaipur,2024-09-25,Moderate,Infrastructure issues,Pune to Kolkata,Check with airlines,1 week
Pune,2024-12-06,Severe,Security concerns,Chennai to Jaipur,No Info,1 week
Kolkata,2025-08-27,High,Weather,Chennai to Delhi,Check with airlines,1 day
Chennai,2025-08-14,High,Infrastructure issues,Chennai to Jaipur,Check with airlines,Indefinite
Mumbai,2025-03-15,Moderate,Political unrest,Pune to Kolkata,Follow local guidelines,3 days
Hyderabad,2025-05-21,Low,Health advisory,Bangalore to Chennai,Monitor local news,1 day
Hyderabad,2025-05-21,Low,Health advisory,Jaipur to Hyderabad,No Info,1 week
Delhi,2025-03-22,High,Infrastructure issues,Pune to Mumbai,No Info,1 week
Pune,2025-03-30,Severe,Security concerns,Pune to Delhi,No Info,3 days
Bangalore,2024-11-11,Severe,Political unrest,Jaipur to Hyderabad,Follow local guidelines,1 day
Delhi,2024-11-19,Low,Infrastructure issues,Chennai to Kolkata,Follow local guidelines,3 days
Chennai,2025-05-19,High,Infrastructure issues,Kolkata to Chennai,No Info,Indefinite
Jaipur,2025-06-23,Moderate,Infrastructure issues,Chennai to Kolkata,Check with airlines,Indefinite
Kolkata,2025-05-04,Low,Weather,Hyderabad to Kolkata,Check with airlines,1 day
Mumbai,2025-03-23,Severe,Health advisory,Chennai to Pune,Avoid non-essential travel,1 week
Delhi,2024-09-06,High,Infrastructure issues,Bangalore to Hyderabad,Avoid non-essential travel,3 days
Kolkata,2024-09-16,High,Political unrest,Delhi to Kolkata,Avoid non-essential travel,Indefinite
Mumbai,2025-03-15,Low,Security concerns,Mumbai to Hyderabad,Monitor local news,3 days
Kolkata,2024-11-06,High,Political unrest,Pune to Mumbai,No Info,1 day
Kolkata,2024-09-05,Low,Security concerns,Delhi to Mumbai,Follow local guidelines,1 week
Chennai,2025-09-01,Moderate,Security concerns,Hyderabad to Delhi,Monitor local news,3 days
Chennai,2025-02-24,Severe,Weather,Bangalore to Mumbai,Check with airlines,Indefinite
Jaipur,2024-12-13,Moderate,Security concerns,Kolkata to Bangalore,No Info,Indefinite
Kolkata,2024-12-18,Severe,Political unrest,Bangalore to Kolkata,Follow local guidelines,1 week
Delhi,2024-11-29,Moderate,Infrastructure issues,Hyderabad to Mumbai,Monitor local news,1 day
Chennai,2024-12-27,Moderate,Political unrest,Pune to Hyderabad,No Info,1 day
Delhi,2025-07-14,High,Security concerns,Jaipur to Bangalore,Avoid non-essential travel,1 day
Chennai,2025-07-20,High,Security concerns,Bangalore to Kolkata,No Info,3 days
Pune,2024-11-05,Moderate,Infrastructure issues,Hyderabad to Jaipur,No Info,3 days
Kolkata,2025-02-15,Low,Weather,Pune to Kolkata,Avoid non-essential travel,1 day
Mumbai,2025-06-27,Moderate,Weather,Mumbai to Chennai,Follow local guidelines,Indefinite
Bangalore,2025-04-05,High,Health advisory,Hyderabad to Delhi,No Info,Indefinite
Delhi,2025-08-08,Low,Weather,Bangalore to Mumbai,Avoid non-essential travel,1 day
Pune,2024-12-15,High,Infrastructure issues,Mumbai to Delhi,Avoid non-essential travel,Indefinite
Chennai,2024-12-28,Severe,Weather,Kolkata to Jaipur,Monitor local news,Indefinite
Hyderabad,2025-04-13,Moderate,Weather,Bangalore to Mumbai,Check with airlines,Indefinite
Chennai,2024-11-30,Low,Health advisory,Hyderabad to Bangalore,Check with airlines,1 day
Hyderabad,2025-08-07,Severe,Health advisory,Bangalore to Hyderabad,Follow local guidelines,Indefinite
Chennai,2025-05-28,Moderate,Infrastructure issues,Mumbai to Chennai,Follow local guidelines,1 week
Chennai,2024-12-07,High,Health advisory,Hyderabad to Bangalore,Check with airlines,1 day
Mumbai,2024-12-17,Moderate,Health advisory,Hyderabad to Kolkata,Follow local guidelines,Indefinite
Kolkata,2024-12-07,Low,Political unrest,Jaipur to Mumbai,Avoid non-essential travel,3 days
Jaipur,2025-02-14,Low,Political unrest,Pune to Mumbai,Avoid non-essential travel,Indefinite
Jaipur,2024-10-29,Low,Security concerns,Delhi to Hyderabad,Follow local guidelines,Indefinite
Delhi,2025-03-28,Low,Political unrest,Bangalore to Mumbai,No Info,Indefinite
Delhi,2025-08-01,Severe,Political unrest,Hyderabad to Mumbai,Follow local guidelines,Indefinite
Jaipur,2025-07-09,Severe,Security concerns,Hyderabad to Jaipur,Monitor local news,3 days
Hyderabad,2025-03-22,Low,Political unrest,Jaipur to Chennai,Monitor local news,Indefinite
Kolkata,2025-07-05,Severe,Weather,Hyderabad to Delhi,Avoid non-essential travel,1 day
Jaipur,2024-12-22,Low,Political unrest,Delhi to Kolkata,Check with airlines,Indefinite
Pune,2025-01-16,Moderate,Security concerns,Kolkata to Jaipur,Follow local guidelines,3 days
Mumbai,2024-11-16,Severe,Political unrest,Jaipur to Delhi,Check with airlines,1 week
Chennai,2024-10-10,Moderate,Weather,Bangalore to Hyderabad,Avoid non-essential travel,3 days
Pune,2025-07-04,Severe,Political unrest,Chennai to Kolkata,Follow local guidelines,1 day
Kolkata,2024-10-29,High,Weather,Kolkata to Delhi,No Info,3 days
Mumbai,2025-02-08,Low,Infrastructure issues,Delhi to Hyderabad,Avoid non-essential travel,1 week
Delhi,2025-03-19,High,Weather,Hyderabad to Chennai,Follow local guidelines,1 week
Hyderabad,2025-07-05,High,Political unrest,Hyderabad to Mumbai,Monitor local news,Indefinite
Delhi,2024-10-05,Moderate,Security concerns,Jaipur to Delhi,Monitor local news,1 day
Bangalore,2025-02-20,Severe,Security concerns,Chennai to Hyderabad,No Info,1 day
Hyderabad,2025-03-30,High,Security concerns,Delhi to Bangalore,Follow local guidelines,Indefinite
Jaipur,2025-01-04,Low,Infrastructure issues,Jaipur to Bangalore,Avoid non-essential travel,3 days
Delhi,2025-03-05,Severe,Political unrest,Kolkata to Bangalore,Monitor local news,Indefinite
Delhi,2025-08-23,High,Infrastructure issues,Delhi to Bangalore,Follow local guidelines,3 days
Delhi,2025-04-29,Severe,Security concerns,Kolkata to Mumbai,Avoid non-essential travel,Indefinite
Kolkata,2024-11-01,Severe,Weather,Kolkata to Jaipur,Follow local guidelines,1 week
Pune,2025-08-29,High,Health advisory,Jaipur to Bangalore,Avoid non-essential travel,1 week
Chennai,2025-04-03,Severe,Security concerns,Delhi to Bangalore,Monitor local news,Indefinite
Hyderabad,2024-12-20,Severe,Security concerns,Mumbai to Kolkata,Follow local guidelines,1 week
Delhi,2025-05-03,Moderate,Weather,Bangalore to Hyderabad,No Info,3 days
Hyderabad,2025-07-28,Low,Security concerns,Pune to Hyderabad,Check with airlines,Indefinite
Mumbai,2025-04-09,Moderate,Political unrest,Bangalore to Chennai,No Info,1 day
Mumbai,2025-05-03,Severe,Health advisory,Jaipur to Mumbai,Monitor local news,1 week
Kolkata,2025-06-03,Moderate,Infrastructure issues,Hyderabad to Chennai,Follow local guidelines,1 day
Pune,2025-02-03,High,Political unrest,Bangalore to Kolkata,Follow local guidelines,1 week
Kolkata,2025-05-26,High,Health advisory,Chennai to Kolkata,No Info,Indefinite
Mumbai,2025-01-18,Moderate,Infrastructure issues,Kolkata to Mumbai,Check with airlines,1 week
Jaipur,2025-02-21,Low,Security concerns,Mumbai to Kolkata,Avoid non-essential travel,1 week
Chennai,2025-02-23,Low,Infrastructure issues,Hyderabad to Jaipur,No Info,3 days
Chennai,2025-07-08,Moderate,Weather,Mumbai to Kolkata,Follow local guidelines,3 days
Mumbai,2025-04-17,Severe,Health advisory,Kolkata to Mumbai,Follow local guidelines,1 week
Hyderabad,2025-04-19,High,Political unrest,Kolkata to Delhi,Avoid non-essential travel,1 week
Jaipur,2025-06-15,Low,Infrastructure issues,Mumbai to Bangalore,Follow local guidelines,3 days
Kolkata,2025-03-08,Severe,Infrastructure issues,Kolkata to Delhi,Avoid non-essential travel,Indefinite
Mumbai,2025-02-09,Low,Political unrest,Kolkata to Hyderabad,Follow local guidelines,1 week
Mumbai,2024-12-05,Severe,Health advisory,Mumbai to Pune,Check with airlines,3 days
Kolkata,2025-03-09,Severe,Health advisory,Jaipur to Pune,Check with airlines,Indefinite
Jaipur,2025-04-07,Severe,Security concerns,Pune to Kolkata,No Info,Indefinite
Bangalore,2025-06-09,High,Security concerns,Delhi to Pune,No Info,Indefinite
Delhi,2024-10-04,Moderate,Security concerns,Delhi to Hyderabad,Follow local guidelines,3 days
Mumbai,2024-11-30,Low,Political unrest,Pune to Bangalore,Check with airlines,1 week
Mumbai,2024-12-03,Low,Health advisory,Kolkata to Jaipur,Avoid non-essential travel,Indefinite
Jaipur,2024-10-05,Moderate,Health advisory,Pune to Jaipur,No Info,1 day
Pune,2024-10-13,Low,Weather,Jaipur to Hyderabad,Follow local guidelines,1 day
Pune,2025-05-25,Severe,Infrastructure issues,Pune to Delhi,Monitor local news,1 week
Jaipur,2025-04-01,High,Infrastructure issues,Hyderabad to Jaipur,Avoid non-essential travel,3 days
Bangalore,2024-10-05,Moderate,Weather,Kolkata to Hyderabad,Monitor local news,Indefinite
Delhi,2024-09-05,Low,Political unrest,Chennai to Bangalore,Monitor local news,Indefinite
Delhi,2024-09-08,High,Health advisory,Jaipur to Bangalore,Check with airlines,3 days
Kolkata,2025-06-20,High,Political unrest,Jaipur to Delhi,Avoid non-essential travel,3 days
Jaipur,2025-04-08,High,Infrastructure issues,Kolkata to Delhi,Avoid non-essential travel,1 day
Jaipur,2025-04-24,Low,Health advisory,Chennai to Kolkata,Follow local guidelines,1 week
Hyderabad,2024-12-02,Low,Health advisory,Delhi to Hyderabad,No Info,Indefinite
Bangalore,2025-06-23,Moderate,Health advisory,Kolkata to Mumbai,Check with airlines,1 week
Chennai,2025-01-06,Severe,Weather,Kolkata to Mumbai,Avoid non-essential travel,Indefinite
Hyderabad,2024-10-20,Severe,Security concerns,Mumbai to Bangalore,Monitor local news,1 week
Jaipur,2025-07-27,Severe,Weather,Pune to Mumbai,Monitor local news,Indefinite
Chennai,2024-12-18,Moderate,Health advisory,Pune to Bangalore,Follow local guidelines,Indefinite
Pune,2024-12-13,Severe,Infrastructure issues,Delhi to Mumbai,Follow local guidelines,1 week
Chennai,2025-03-18,Low,Health advisory,Delhi to Pune,Follow local guidelines,1 day
Bangalore,2025-04-01,Moderate,Security concerns,Mumbai to Bangalore,Follow local guidelines,3 days
Kolkata,2024-10-24,High,Infrastructure issues,Delhi to Jaipur,Avoid non-essential travel,1 week
Pune,2024-11-21,Severe,Weather,Kolkata to Delhi,No Info,Indefinite
Kolkata,2025-01-03,High,Security concerns,Jaipur to Delhi,Monitor local news,1 week
Kolkata,2024-12-01,Moderate,Weather,Mumbai to Kolkata,Monitor local news,3 days
Bangalore,2025-04-05,Severe,Weather,Hyderabad to Chennai,Avoid non-essential travel,Indefinite
Jaipur,2024-11-07,High,Infrastructure issues,Chennai to Kolkata,No Info,1 day
Jaipur,2025-04-20,Low,Weather,Kolkata to Mumbai,Follow local guidelines,Indefinite
