Hotel_Name,City,Check_In_Date,Room_Type,Price_Per_Night,Availability_Status,Additional_Info,Check_Out_Date,Total_Nights
Mountain Lodge,Kolkata,2025-08-23,Deluxe,10333,Available,Pool Access Included,2025-08-31,8
Mountain Lodge,Jaipur,2025-08-26,Double,8574,Available,Pool Access Included,2025-09-02,7
Ocean View,Kolkata,2025-05-07,Double,5824,Available,Pool Access Included,2025-05-09,2
The Luxe,Kolkata,2024-09-23,Single,3439,Fully Booked,Airport Shuttle,2024-10-02,9
Hotel Grand,Mumbai,2025-02-15,Deluxe,5561,Fully Booked,Breakfast Included,2025-02-16,1
City Inn,Hyderabad,2025-05-13,Suite,3451,Fully Booked,Breakfast Included,2025-05-22,9
The Luxe,Bangalore,2024-09-02,Suite,6546,Available,No Info,2024-09-12,10
City Inn,Kolkata,2025-06-26,Suite,8825,Fully Booked,Pool Access Included,2025-06-29,3
City Inn,Mumbai,2024-09-01,Double,3052,Available,Breakfast Included,2024-09-08,7
Ocean View,Chennai,2025-06-02,Double,4578,Fully Booked,Breakfast Included,2025-06-08,6
Comfort Stay,Chennai,2024-09-03,Deluxe,9105,Fully Booked,No Info,2024-09-13,10
Comfort Stay,Pune,2025-04-22,Double,11314,Available,Breakfast Included,2025-04-27,5
City Inn,Mumbai,2025-01-04,Suite,12435,Available,Free Wi-Fi,2025-01-07,3
Royal Palace,Chennai,2024-09-05,Double,10316,Fully Booked,Free Wi-Fi,2024-09-10,5
Mountain Lodge,Bangalore,2024-12-09,Suite,7908,Available,Breakfast Included,2024-12-17,8
Hotel Grand,Pune,2025-05-16,Suite,12765,Fully Booked,Free Wi-Fi,2025-05-22,6
Comfort Stay,Jaipur,2025-01-03,Double,5897,Available,Pool Access Included,2025-01-07,4
Hotel Grand,Hyderabad,2024-10-10,Single,3197,Fully Booked,Breakfast Included,2024-10-19,9
Comfort Stay,Mumbai,2025-01-15,Deluxe,5694,Fully Booked,Free Wi-Fi,2025-01-18,3
Mountain Lodge,Pune,2025-06-29,Suite,9202,Available,Airport Shuttle,2025-07-01,2
Hotel Grand,Bangalore,2024-11-25,Single,10915,Fully Booked,Pool Access Included,2024-11-27,2
City Inn,Hyderabad,2024-09-05,Double,14302,Available,Pool Access Included,2024-09-06,1
Mountain Lodge,Delhi,2025-02-10,Suite,8724,Fully Booked,No Info,2025-02-11,1
City Inn,Pune,2024-12-13,Deluxe,6980,Fully Booked,Pool Access Included,2024-12-22,9
Royal Palace,Bangalore,2025-05-19,Single,11189,Available,No Info,2025-05-28,9
City Inn,Kolkata,2025-06-23,Suite,7513,Available,Breakfast Included,2025-06-30,7
Comfort Stay,Bangalore,2025-08-14,Double,2684,Fully Booked,Breakfast Included,2025-08-24,10
Comfort Stay,Bangalore,2024-09-22,Single,5839,Fully Booked,Pool Access Included,2024-09-26,4
Ocean View,Jaipur,2025-04-22,Suite,5754,Fully Booked,Pool Access Included,2025-05-02,10
Hotel Grand,Hyderabad,2024-12-05,Double,12280,Fully Booked,No Info,2024-12-11,6
Hotel Grand,Chennai,2024-10-26,Single,12581,Available,No Info,2024-10-28,2
Mountain Lodge,Delhi,2025-05-24,Deluxe,10164,Available,Free Wi-Fi,2025-05-31,7
Ocean View,Pune,2025-04-27,Double,6083,Fully Booked,No Info,2025-05-07,10
Ocean View,Bangalore,2024-10-03,Double,13296,Available,Free Wi-Fi,2024-10-07,4
Ocean View,Jaipur,2024-12-19,Single,3140,Available,Pool Access Included,2024-12-22,3
Mountain Lodge,Jaipur,2024-10-04,Suite,14074,Fully Booked,Breakfast Included,2024-10-12,8
Comfort Stay,Delhi,2025-02-06,Deluxe,9308,Fully Booked,No Info,2025-02-07,1
Ocean View,Delhi,2024-12-04,Single,12063,Available,Breakfast Included,2024-12-07,3
Mountain Lodge,Hyderabad,2025-04-05,Deluxe,3809,Fully Booked,Breakfast Included,2025-04-07,2
Royal Palace,Chennai,2025-01-01,Deluxe,3224,Fully Booked,Free Wi-Fi,2025-01-10,9
Hotel Grand,Kolkata,2024-11-23,Suite,4788,Fully Booked,Breakfast Included,2024-11-30,7
Royal Palace,Pune,2025-04-08,Suite,14092,Fully Booked,No Info,2025-04-15,7
The Luxe,Hyderabad,2025-01-15,Suite,14915,Fully Booked,Breakfast Included,2025-01-20,5
The Luxe,Jaipur,2024-10-24,Double,2645,Available,Free Wi-Fi,2024-10-29,5
Mountain Lodge,Mumbai,2024-09-27,Double,2032,Available,Free Wi-Fi,2024-10-06,9
Comfort Stay,Bangalore,2025-02-23,Double,5259,Fully Booked,Airport Shuttle,2025-02-26,3
City Inn,Chennai,2025-08-25,Double,3203,Available,Pool Access Included,2025-09-02,8
Ocean View,Pune,2025-03-14,Double,8600,Fully Booked,No Info,2025-03-20,6
Ocean View,Pune,2025-03-16,Deluxe,9628,Fully Booked,Free Wi-Fi,2025-03-24,8
Ocean View,Chennai,2025-06-08,Double,7727,Fully Booked,Airport Shuttle,2025-06-10,2
Ocean View,Delhi,2025-03-02,Deluxe,12912,Fully Booked,No Info,2025-03-03,1
The Luxe,Kolkata,2024-10-31,Deluxe,6822,Available,Pool Access Included,2024-11-07,7
Ocean View,Kolkata,2025-08-16,Suite,14061,Fully Booked,Airport Shuttle,2025-08-26,10
Hotel Grand,Pune,2025-01-01,Single,13144,Available,Airport Shuttle,2025-01-07,6
Royal Palace,Kolkata,2025-02-26,Single,3542,Fully Booked,No Info,2025-02-28,2
Ocean View,Pune,2025-08-24,Double,9233,Available,Airport Shuttle,2025-08-27,3
City Inn,Jaipur,2025-08-25,Suite,3804,Available,Airport Shuttle,2025-08-27,2
Ocean View,Chennai,2025-05-09,Deluxe,7504,Fully Booked,No Info,2025-05-10,1
Ocean View,Bangalore,2025-04-04,Deluxe,8078,Available,Airport Shuttle,2025-04-07,3
City Inn,Hyderabad,2025-08-05,Single,8640,Available,Free Wi-Fi,2025-08-10,5
City Inn,Delhi,2025-08-30,Double,7543,Fully Booked,No Info,2025-09-03,4
Hotel Grand,Delhi,2025-02-09,Double,13344,Available,Airport Shuttle,2025-02-15,6
Comfort Stay,Bangalore,2025-08-12,Deluxe,10478,Available,No Info,2025-08-21,9
Comfort Stay,Chennai,2024-10-09,Single,4120,Available,Pool Access Included,2024-10-13,4
Royal Palace,Delhi,2025-05-31,Deluxe,4258,Available,Breakfast Included,2025-06-07,7
The Luxe,Pune,2025-01-31,Double,13307,Fully Booked,Free Wi-Fi,2025-02-01,1
Mountain Lodge,Mumbai,2025-02-02,Double,9196,Available,Pool Access Included,2025-02-08,6
Ocean View,Jaipur,2024-09-21,Suite,5800,Available,Pool Access Included,2024-09-29,8
Mountain Lodge,Bangalore,2025-04-05,Suite,12148,Fully Booked,Breakfast Included,2025-04-08,3
Ocean View,Pune,2024-11-10,Deluxe,7516,Fully Booked,Breakfast Included,2024-11-15,5
Mountain Lodge,Bangalore,2024-09-13,Single,11267,Available,Airport Shuttle,2024-09-20,7
City Inn,Kolkata,2025-05-27,Deluxe,2301,Fully Booked,Breakfast Included,2025-05-28,1
Comfort Stay,Kolkata,2025-03-20,Single,5419,Available,No Info,2025-03-24,4
Comfort Stay,Kolkata,2024-09-04,Double,8979,Available,Pool Access Included,2024-09-07,3
Royal Palace,Pune,2024-12-04,Single,11294,Available,Breakfast Included,2024-12-14,10
Royal Palace,Delhi,2024-09-18,Double,9574,Fully Booked,Airport Shuttle,2024-09-23,5
Royal Palace,Hyderabad,2024-09-04,Single,6237,Available,Pool Access Included,2024-09-08,4
Royal Palace,Mumbai,2025-04-11,Double,5493,Available,Airport Shuttle,2025-04-15,4
Mountain Lodge,Bangalore,2025-06-06,Deluxe,6304,Available,Breakfast Included,2025-06-10,4
City Inn,Pune,2025-01-13,Suite,6789,Available,Airport Shuttle,2025-01-14,1
Hotel Grand,Pune,2025-01-29,Deluxe,5593,Available,Free Wi-Fi,2025-02-03,5
The Luxe,Jaipur,2025-03-22,Double,3808,Fully Booked,Airport Shuttle,2025-03-23,1
Mountain Lodge,Delhi,2025-08-24,Suite,8084,Fully Booked,Airport Shuttle,2025-09-02,9
Mountain Lodge,Delhi,2025-04-06,Deluxe,14639,Fully Booked,Free Wi-Fi,2025-04-08,2
City Inn,Jaipur,2025-02-03,Suite,6414,Available,Free Wi-Fi,2025-02-04,1
Royal Palace,Chennai,2025-04-03,Deluxe,5107,Fully Booked,Airport Shuttle,2025-04-06,3
City Inn,Mumbai,2024-11-04,Deluxe,12312,Fully Booked,Free Wi-Fi,2024-11-07,3
Hotel Grand,Jaipur,2025-01-13,Suite,2276,Fully Booked,Free Wi-Fi,2025-01-18,5
The Luxe,Chennai,2024-09-19,Double,9575,Available,No Info,2024-09-24,5
City Inn,Hyderabad,2025-02-03,Single,4966,Fully Booked,No Info,2025-02-13,10
Ocean View,Kolkata,2025-03-05,Double,12612,Fully Booked,Free Wi-Fi,2025-03-07,2
Hotel Grand,Hyderabad,2025-05-10,Double,5079,Fully Booked,No Info,2025-05-19,9
Hotel Grand,Jaipur,2025-06-19,Double,12871,Fully Booked,Free Wi-Fi,2025-06-23,4
Mountain Lodge,Bangalore,2025-07-29,Double,6245,Fully Booked,Airport Shuttle,2025-08-02,4
Hotel Grand,Pune,2025-06-27,Deluxe,14164,Fully Booked,Airport Shuttle,2025-07-05,8
Royal Palace,Hyderabad,2025-01-25,Double,8891,Fully Booked,Pool Access Included,2025-01-26,1
The Luxe,Delhi,2025-08-07,Single,11140,Available,Breakfast Included,2025-08-13,6
Ocean View,Hyderabad,2025-05-18,Suite,5608,Available,Pool Access Included,2025-05-28,10
Hotel Grand,Chennai,2025-04-20,Double,8522,Fully Booked,No Info,2025-04-22,2
Mountain Lodge,Mumbai,2025-08-20,Deluxe,6621,Fully Booked,No Info,2025-08-28,8
Royal Palace,Jaipur,2025-08-04,Single,4769,Fully Booked,No Info,2025-08-09,5
City Inn,Bangalore,2025-08-27,Deluxe,12707,Available,No Info,2025-09-06,10
Ocean View,Delhi,2024-12-21,Deluxe,7486,Fully Booked,Pool Access Included,2024-12-24,3
The Luxe,Jaipur,2025-07-23,Deluxe,6762,Fully Booked,No Info,2025-07-30,7
Ocean View,Delhi,2024-09-26,Double,3194,Available,Airport Shuttle,2024-10-03,7
Mountain Lodge,Kolkata,2025-07-09,Double,8315,Available,Pool Access Included,2025-07-19,10
Royal Palace,Chennai,2025-02-06,Double,4414,Fully Booked,Airport Shuttle,2025-02-11,5
Comfort Stay,Kolkata,2025-07-22,Single,3084,Available,Free Wi-Fi,2025-07-29,7
The Luxe,Delhi,2025-04-12,Suite,4435,Fully Booked,Free Wi-Fi,2025-04-14,2
Mountain Lodge,Kolkata,2025-04-21,Double,4609,Available,Free Wi-Fi,2025-04-27,6
The Luxe,Jaipur,2024-10-10,Suite,9171,Fully Booked,Airport Shuttle,2024-10-14,4
Mountain Lodge,Bangalore,2025-04-27,Suite,5666,Fully Booked,Breakfast Included,2025-05-05,8
Hotel Grand,Jaipur,2025-02-09,Suite,2680,Available,Airport Shuttle,2025-02-11,2
City Inn,Chennai,2024-09-01,Single,3879,Available,Airport Shuttle,2024-09-02,1
Ocean View,Jaipur,2025-03-15,Single,13355,Available,Breakfast Included,2025-03-24,9
Mountain Lodge,Delhi,2024-10-17,Suite,6776,Available,Pool Access Included,2024-10-23,6
The Luxe,Bangalore,2025-04-08,Single,6856,Fully Booked,Pool Access Included,2025-04-12,4
Hotel Grand,Jaipur,2024-10-07,Deluxe,2065,Fully Booked,Free Wi-Fi,2024-10-14,7
Mountain Lodge,Delhi,2025-07-08,Single,13181,Fully Booked,No Info,2025-07-09,1
City Inn,Mumbai,2025-01-16,Deluxe,10575,Available,Breakfast Included,2025-01-23,7
Hotel Grand,Bangalore,2024-11-27,Single,11664,Fully Booked,No Info,2024-12-04,7
City Inn,Bangalore,2025-06-28,Single,6238,Fully Booked,Airport Shuttle,2025-07-08,10
Ocean View,Jaipur,2025-08-14,Single,8587,Available,Airport Shuttle,2025-08-18,4
City Inn,Bangalore,2024-12-27,Double,8374,Fully Booked,Breakfast Included,2025-01-06,10
City Inn,Bangalore,2025-05-04,Suite,12711,Available,Breakfast Included,2025-05-05,1
Royal Palace,Hyderabad,2024-09-04,Suite,2110,Available,Airport Shuttle,2024-09-10,6
Comfort Stay,Delhi,2024-09-13,Double,3656,Fully Booked,No Info,2024-09-16,3
Royal Palace,Kolkata,2025-03-28,Single,3993,Available,Free Wi-Fi,2025-04-01,4
Comfort Stay,Delhi,2025-07-15,Deluxe,6426,Fully Booked,Breakfast Included,2025-07-17,2
Comfort Stay,Hyderabad,2025-04-29,Suite,7243,Available,Free Wi-Fi,2025-05-05,6
Ocean View,Bangalore,2025-09-01,Single,8469,Available,Pool Access Included,2025-09-09,8
Mountain Lodge,Pune,2025-08-04,Double,5393,Available,Airport Shuttle,2025-08-06,2
Ocean View,Kolkata,2025-04-02,Suite,3660,Fully Booked,Pool Access Included,2025-04-04,2
The Luxe,Mumbai,2025-06-04,Double,3412,Fully Booked,Breakfast Included,2025-06-05,1
Royal Palace,Chennai,2024-10-21,Deluxe,6678,Available,No Info,2024-10-30,9
City Inn,Jaipur,2024-10-31,Deluxe,14549,Fully Booked,No Info,2024-11-09,9
Ocean View,Chennai,2025-03-12,Deluxe,5764,Fully Booked,Breakfast Included,2025-03-14,2
Ocean View,Mumbai,2025-05-30,Single,13070,Fully Booked,No Info,2025-05-31,1
Mountain Lodge,Mumbai,2024-12-20,Suite,10674,Available,Pool Access Included,2024-12-28,8
City Inn,Pune,2024-11-01,Deluxe,11955,Available,No Info,2024-11-02,1
Comfort Stay,Chennai,2025-08-25,Double,4966,Available,Free Wi-Fi,2025-09-04,10
Comfort Stay,Delhi,2025-08-18,Deluxe,9234,Fully Booked,No Info,2025-08-24,6
City Inn,Kolkata,2024-12-08,Double,7756,Fully Booked,Pool Access Included,2024-12-09,1
The Luxe,Bangalore,2025-08-08,Deluxe,7815,Available,Free Wi-Fi,2025-08-15,7
Royal Palace,Kolkata,2025-06-11,Suite,10369,Fully Booked,Airport Shuttle,2025-06-19,8
Royal Palace,Bangalore,2025-04-20,Suite,12958,Available,Free Wi-Fi,2025-04-23,3
City Inn,Bangalore,2024-11-19,Deluxe,2599,Available,No Info,2024-11-25,6
Mountain Lodge,Delhi,2025-05-28,Deluxe,3854,Fully Booked,Airport Shuttle,2025-06-02,5
Comfort Stay,Pune,2025-05-30,Single,14082,Fully Booked,Free Wi-Fi,2025-06-03,4
The Luxe,Pune,2024-10-18,Deluxe,13250,Available,Free Wi-Fi,2024-10-25,7
Comfort Stay,Chennai,2025-06-23,Suite,7299,Fully Booked,Free Wi-Fi,2025-07-03,10
The Luxe,Jaipur,2024-09-18,Double,5181,Fully Booked,Airport Shuttle,2024-09-21,3
Hotel Grand,Mumbai,2025-07-26,Single,12436,Available,No Info,2025-08-05,10
The Luxe,Pune,2025-05-16,Deluxe,2601,Fully Booked,No Info,2025-05-18,2
The Luxe,Jaipur,2025-05-20,Single,2111,Fully Booked,Pool Access Included,2025-05-26,6
City Inn,Mumbai,2025-08-05,Single,2553,Available,Breakfast Included,2025-08-09,4
Comfort Stay,Jaipur,2025-02-09,Double,8710,Fully Booked,Airport Shuttle,2025-02-14,5
Comfort Stay,Kolkata,2025-03-03,Double,11761,Available,Breakfast Included,2025-03-13,10
Ocean View,Bangalore,2025-01-31,Double,2713,Available,Airport Shuttle,2025-02-01,1
Mountain Lodge,Delhi,2025-05-03,Suite,13057,Fully Booked,No Info,2025-05-12,9
Hotel Grand,Chennai,2024-10-09,Deluxe,10894,Available,Breakfast Included,2024-10-16,7
Hotel Grand,Jaipur,2025-02-03,Deluxe,5052,Available,Free Wi-Fi,2025-02-04,1
Comfort Stay,Bangalore,2024-12-31,Deluxe,11039,Fully Booked,No Info,2025-01-07,7
The Luxe,Delhi,2024-12-09,Double,10665,Available,No Info,2024-12-17,8
Comfort Stay,Bangalore,2025-02-14,Double,7088,Fully Booked,No Info,2025-02-16,2
Hotel Grand,Hyderabad,2024-09-23,Deluxe,14108,Available,Free Wi-Fi,2024-09-24,1
Royal Palace,Pune,2024-11-23,Single,13841,Available,Airport Shuttle,2024-11-26,3
Comfort Stay,Bangalore,2024-12-28,Double,14509,Available,Pool Access Included,2025-01-05,8
City Inn,Mumbai,2025-04-17,Suite,2007,Available,Pool Access Included,2025-04-24,7
Ocean View,Mumbai,2024-12-31,Double,6979,Fully Booked,No Info,2025-01-01,1
Ocean View,Kolkata,2025-06-16,Single,12420,Available,Pool Access Included,2025-06-24,8
City Inn,Kolkata,2025-07-03,Suite,12595,Fully Booked,No Info,2025-07-08,5
The Luxe,Mumbai,2025-08-20,Single,13282,Available,Free Wi-Fi,2025-08-27,7
The Luxe,Jaipur,2024-10-05,Suite,8519,Available,No Info,2024-10-08,3
Hotel Grand,Delhi,2024-11-06,Deluxe,9542,Fully Booked,Pool Access Included,2024-11-13,7
Hotel Grand,Jaipur,2024-10-08,Deluxe,11589,Fully Booked,Airport Shuttle,2024-10-09,1
Ocean View,Kolkata,2024-12-24,Deluxe,8185,Available,Breakfast Included,2024-12-26,2
The Luxe,Chennai,2025-01-02,Double,9251,Available,Airport Shuttle,2025-01-09,7
The Luxe,Hyderabad,2024-11-12,Double,13490,Fully Booked,Free Wi-Fi,2024-11-21,9
Mountain Lodge,Kolkata,2025-04-27,Single,12679,Available,Airport Shuttle,2025-05-04,7
The Luxe,Bangalore,2025-05-26,Deluxe,9292,Fully Booked,No Info,2025-05-27,1
The Luxe,Mumbai,2025-03-02,Suite,2692,Available,Airport Shuttle,2025-03-07,5
Ocean View,Hyderabad,2025-06-21,Deluxe,14926,Available,Pool Access Included,2025-06-27,6
Ocean View,Delhi,2025-08-13,Double,12021,Available,Free Wi-Fi,2025-08-14,1
City Inn,Pune,2024-11-27,Suite,10414,Available,Free Wi-Fi,2024-11-29,2
Mountain Lodge,Hyderabad,2024-11-02,Deluxe,2519,Available,Airport Shuttle,2024-11-08,6
The Luxe,Mumbai,2024-12-17,Double,8910,Available,Airport Shuttle,2024-12-20,3
The Luxe,Hyderabad,2025-03-10,Single,5511,Fully Booked,No Info,2025-03-15,5
